Day,Date,Away,Home
Thursday,September 4,Dallas,Philadelphia
Friday,September 5,Kansas City,Los Angeles
Sunday,September 7,Tampa Bay,Atlanta
Sunday,September 7,Cincinnati,Cleveland
Sunday,September 7,Miami,Indianapolis
Sunday,September 7,Las Vegas,New England
Sunday,September 7,Arizona,New Orleans
Sunday,September 7,Pittsburgh,New York
Sunday,September 7,New York,Washington
Sunday,September 7,Carolina,Jacksonville
Sunday,September 7,Tennessee,Denver
Sunday,September 7,San Francisco,Seattle
Sunday,September 7,Detroit,Green Bay
Sunday,September 7,Houston,Los Angeles
Sunday,September 7,Baltimore,Buffalo
Monday,September 8,Minnesota,Chicago
Thursday,September 11,Washington,Green Bay
Sunday,September 14,Jacksonville,Cincinnati
Sunday,September 14,New York,Dallas
Sunday,September 14,Chicago,Detroit
Sunday,September 14,Los Angeles,Tennessee
Sunday,September 14,New England,Miami
Sunday,September 14,San Francisco,New Orleans
Sunday,September 14,Buffalo,New York
Sunday,September 14,Seattle,Pittsburgh
Sunday,September 14,Cleveland,Baltimore
Sunday,September 14,Denver,Indianapolis
Sunday,September 14,Carolina,Arizona
Sunday,September 14,Philadelphia,Kansas City
Sunday,September 14,Atlanta,Minnesota
Monday,September 15,Tampa Bay,Houston
Monday,September 15,Los Angeles,Las Vegas
Thursday,September 18,Miami,Buffalo
Sunday,September 21,Green Bay,Cleveland
Sunday,September 21,Indianapolis,Tennessee
Sunday,September 21,Cincinnati,Minnesota
Sunday,September 21,Pittsburgh,New England
Sunday,September 21,Los Angeles,Philadelphia
Sunday,September 21,New York,Tampa Bay
Sunday,September 21,Las Vegas,Washington
Sunday,September 21,Atlanta,Carolina
Sunday,September 21,Houston,Jacksonville
Sunday,September 21,Denver,Los Angeles
Sunday,September 21,New Orleans,Seattle
Sunday,September 21,Dallas,Chicago
Sunday,September 21,Arizona,San Francisco
Sunday,September 21,Kansas City,New York
Monday,September 22,Detroit,Baltimore
